chunk_number,averaged_value
0,0.9558537017699493
1,0.9047469260545455
2,0.938379129617409
3,0.9160715980681202
4,0.7785292452113021
5,0.6527850318682578
6,0.6573099167558432
7,0.7465769383955457
8,0.8623281223983333
9,0.9540495890622006
10,0.8530333973183849
11,0.8832874764349766
12,0.7086042364127257
13,0.6596539896037606
14,0.555287227620033
15,0.4841154967091942
16,0.5675651137589787
17,0.8105045112433229
18,0.9228699220075564
19,0.8937226734893933
20,0.7927262272021648
21,0.6839079502546663
22,0.417324612407178
23,0.4189710744054155
24,0.35243307338789553
25,0.5265099245484961
26,0.7605473279201169
27,0.9334221919694583
28,0.8312859777102005
29,0.715232174527747
30,0.6278727171519896
31,0.4030862358974595
32,0.5824160345897
33,0.5029696625351607
34,0.6328736004676419
35,0.6110330473179185
36,0.8914856830541675
37,0.7994072352769119
38,0.6962657698546116
39,0.5475093136144427
40,0.2835213341407946
41,0.35345130077553955
42,0.28393657297384256
43,0.2528579516013145
44,0.6491885637497716
45,0.8179895279027214
46,0.809869279356452
47,0.6399016375851894
48,0.5289305053697854
49,0.21219462734575706
50,0.2576936093895782
51,0.26052996381025306
52,0.30835208822985927
53,0.7606735129636734
54,0.7911669800097954
55,0.6777136955726957
56,0.4443935387392708
57,0.32860548797606565
58,0.3150355511039444
59,0.4268244622619525
60,0.6309207963748744
61,0.572451661235417
62,0.7252578728276508
63,0.6553083335227943
64,0.5454216831332
65,0.30667761978839186
66,0.28345248085062946
67,0.24670145133236146
68,0.20174542445237353
69,0.35635888371970603
70,0.311018531351398
71,0.5333194538211729
72,0.7495934848762376
73,0.5952286768655201
74,0.6251870085294284
75,0.5679903070719411
76,0.5168289348842385
77,0.3700275071126977
78,0.3799091374021034
79,0.4603796728406208
80,0.5033595314765825
81,0.8214609816780694
82,0.7600668151019045
83,0.8410645038813442
84,0.6203367366777444
85,0.7043709137932426
86,0.6397589905617284
87,0.6650745530776686
88,0.524323414561387
89,0.5086939807407254
